Date,High,Low,Open,Close,Volume,Adj Close
2020-12-15,17.280000686645508,16.719999313354492,17.110000610351562,17.0,142800,17.0
2020-12-16,17.420000076293945,17.059999465942383,17.09000015258789,17.190000534057617,172100,17.190000534057617
2020-12-17,17.690000534057617,17.239999771118164,17.239999771118164,17.6200008392334,169400,17.6200008392334
2020-12-18,17.979999542236328,17.6299991607666,17.709999084472656,17.850000381469727,569800,17.850000381469727
2020-12-21,17.90999984741211,17.489999771118164,17.489999771118164,17.6299991607666,172700,17.6299991607666
2020-12-22,17.829999923706055,17.290000915527344,17.799999237060547,17.670000076293945,122500,17.670000076293945
2020-12-23,17.899999618530273,17.1299991607666,17.6299991607666,17.280000686645508,215200,17.280000686645508
2020-12-24,17.700000762939453,17.329999923706055,17.440000534057617,17.639999389648438,90700,17.639999389648438
2020-12-28,19.360000610351562,18.0,18.299999237060547,18.829999923706055,770700,18.829999923706055
2020-12-29,19.309999465942383,17.760000228881836,18.8799991607666,18.309999465942383,421200,18.309999465942383
2020-12-30,18.75,17.889999389648438,18.65999984741211,18.329999923706055,217400,18.329999923706055
2020-12-31,18.469999313354492,17.920000076293945,18.399999618530273,18.399999618530273,231500,18.399999618530273
2021-01-04,19.459999084472656,17.940000534057617,19.110000610351562,17.989999771118164,388300,17.989999771118164
2021-01-05,18.290000915527344,17.260000228881836,17.81999969482422,17.709999084472656,400400,17.709999084472656
2021-01-06,18.110000610351562,17.5,17.59000015258789,17.799999237060547,339000,17.799999237060547
2021-01-07,18.31999969482422,17.510000228881836,17.959999084472656,18.09000015258789,254400,18.09000015258789
2021-01-08,18.3700008392334,17.8700008392334,18.25,18.190000534057617,145200,18.190000534057617
2021-01-11,18.18000030517578,17.81999969482422,17.920000076293945,18.059999465942383,123600,18.059999465942383
2021-01-12,18.6299991607666,18.030000686645508,18.040000915527344,18.43000030517578,170500,18.43000030517578
2021-01-13,18.68000030517578,18.100000381469727,18.459999084472656,18.229999542236328,140300,18.229999542236328
2021-01-14,18.780000686645508,17.940000534057617,18.260000228881836,18.059999465942383,195700,18.059999465942383
2021-01-15,18.40999984741211,17.549999237060547,17.93000030517578,17.559999465942383,286100,17.559999465942383
2021-01-19,18.059999465942383,17.440000534057617,17.790000915527344,18.030000686645508,233400,18.030000686645508
2021-01-20,18.719999313354492,18.030000686645508,18.030000686645508,18.469999313354492,134200,18.469999313354492
2021-01-21,18.6299991607666,18.260000228881836,18.5,18.459999084472656,143300,18.459999084472656
2021-01-22,19.06999969482422,18.25,18.25,18.93000030517578,292800,18.93000030517578
2021-01-25,19.350000381469727,17.6200008392334,19.0,17.790000915527344,396900,17.790000915527344
2021-01-26,18.020000457763672,17.0,17.8799991607666,17.18000030517578,273300,17.18000030517578
2021-01-27,17.209999084472656,16.200000762939453,16.799999237060547,16.43000030517578,387300,16.43000030517578
2021-01-28,16.920000076293945,15.920000076293945,16.579999923706055,16.530000686645508,250700,16.530000686645508
2021-01-29,16.979999542236328,16.149999618530273,16.450000762939453,16.450000762939453,340600,16.450000762939453
2021-02-01,16.670000076293945,15.949999809265137,16.510000228881836,16.600000381469727,220200,16.600000381469727
2021-02-02,17.299999237060547,16.579999923706055,16.799999237060547,17.280000686645508,224200,17.280000686645508
2021-02-03,17.350000381469727,16.799999237060547,17.229999542236328,16.959999084472656,127900,16.959999084472656
2021-02-04,17.739999771118164,16.959999084472656,17.06999969482422,17.729999542236328,163100,17.729999542236328
2021-02-05,18.5,17.729999542236328,17.979999542236328,18.459999084472656,238200,18.459999084472656
2021-02-08,19.149999618530273,18.079999923706055,18.610000610351562,18.229999542236328,281300,18.229999542236328
2021-02-09,18.899999618530273,18.190000534057617,18.420000076293945,18.739999771118164,172300,18.739999771118164
2021-02-10,19.90999984741211,18.959999084472656,18.989999771118164,19.75,425200,19.75
2021-02-11,21.43000030517578,19.950000762939453,20.0,21.239999771118164,614700,21.239999771118164
